Sentence,word,Word_Counts,Word_Counts_
['Одоо дампуурсан FTX криптовалютын арилжааны төвийг үүсгэн байгуулагч Сэм БэнкманФридэд өчигдөр АНУын шүүх  жил шоронд хорих ял оноолоо.'],од дампуур ftx криптовалютын арилжаа төв үүсгэн байгуул сэм бэнкманфридэд өчигдөр ануын шүү жил шор хорь ял оноол,18,19
['Түүнийг харилцагчдынхаа  тэрбумтай тэнцэх хөрөнгийг луйвардсан гэж буруутгажээ.'],түүн тэрбум тэнц хөрөнгө луйвард буруутга,6,9
['Энэ нь нэгэн үе хамгийн залуу тэрбумтан суут ухаантан хэмээн өргөмжлөгдөж байсан  настай БэнкманФридийн уналтын сүүлчийн үе шат болж байна.'],нэгэн үе хамаг залуу тэрбумтан суут ухаантан өргөмжлөгдөж бай нас бэнкманфридийн уналт сүүлч үе шат бол бай,17,21
['Тэр үүнийгээ буруу гэдгийг мэдэж байсан.'],тэр буруу гэдэг мэд бай,5,7
['Тэр гэмт хэрэг гэдгийг мэдэж байсан.'],тэр хэр гэдэг мэд бай,5,7
['Гэхдээ тэр өөрийгөө баригдахгүй гэдэгт итгэж байсан нь харамсалтай.'],өөр баригдахгүй гэдэг итгэ бай харамс,6,10
['Өнөөдөр тэр буруугаа хүлээн зөвшөөрөхөөс татгалзаж байна гэж ялын тогтоолыг танилцуулахаасаа өмнө Манхэттэн дүүргийн шүүгч Люис Каплан хэлжээ.'],өнөөдөр буруу хүлээ зөвшөөрөхөөс татгалз бай ял тогтоол танилцуулахаасаа өмнө манхэттэн дүүрэг шүү люис каплан хэл,16,19
['Ажиглагчид БэнкманФридийн үйлдсэн хэргийг АНУын түүхэнд гарсан хамгийн том санхүүгийн луйвруудын нэг гэж үзэж байна.'],ажиглагч бэнкманфридийн үйлд хэрэг ануын түүхэн гар хамаг том санхүү луйвар үз бай,13,16
['FTX төвийн үйлчлүүлэгчид болон зээлдүүлэгчдийн мөнгийг бүрэн төлж чадна гэсэн хариуцагчийн мэдэгдэл нь төөрөгдүүлсэн логикийн хувьд алдаатай таамаг төдий зүйл юм.'],ftx төв үйлчлүүлэгч зээлдүүлэгч мөнгө бүр төл чад хариуцагч мэдэгдэл төөрөгдүүлсэн логик хувь алдаа таамаг төдий зүйл,17,22
['Хулгайч хулгайлсан мөнгөөрөө ЛасВегасийн казинод амжилттай бооцоо тавиад хожсон мөнгөөрөө хохирлыг барагдуулах замаар ялаас хөнгөлөгдөх учиргүй гэж шүүгчийн дүгнэлтэд өгүүлжээ.'],хулгайч хулгайл мөнгө ласвегасийн казино амжилт бооц тавиад хож мөнгө хохирол барагдуулах зам ял хөнгөлөгдөх учир шүүгч дүгнэлт өгүүлжээ,19,21
